country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
SYR,Syrian Arab Republic,Al Nasryeh (Nasserieh) OCGT Power Plant Syria,GEODB0041668,384.0,33.8012,36.6828,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1016705,2017,,,,,,,,,,,,,682.37,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SYR,Syrian Arab Republic,Al Tayem OCGT Power Plant Syria,GEODB0041669,100.0,35.2308,40.0672,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1016716,2017,,,,,,,,,,,,,177.70,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SYR,Syrian Arab Republic,Al-Zara Thermal Power Plant Syria,GEODB0041655,660.0,34.9590,36.6610,Oil,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1016706,2017,,,,,,,,,,,,,3167.84,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SYR,Syrian Arab Republic,Aleppo OCGT Power Plant Syria,GEODB0041671,30.0,36.1743,37.4401,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1016707,2017,,,,,,,,,,,,,53.31,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SYR,Syrian Arab Republic,Aleppo Thermal Power Plant Syria,GEODB0041658,1065.0,36.1763,37.4370,Oil,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1016707,2017,,,,,,,,,,,,,5111.75,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SYR,Syrian Arab Republic,Baath Hydroelectric Power Project Syria,GEODB0041661,75.0,35.8853,38.7472,Hydro,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1016708,2017,,,,,,,,,251.82,184.00,200.82,178.90,179.46,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
SYR,Syrian Arab Republic,Banias (Baniyas) Refinery Thermal Power Plant,GEODB0041673,48.0,35.2132,35.9650,Oil,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,,2017,,,,,,,,,,,,,230.38,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SYR,Syrian Arab Republic,Banias Thermal Power Plant Syria,GEODB0041657,680.0,35.1715,35.9270,Oil,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1016709,2017,,,,,,,,,,,,,3263.84,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SYR,Syrian Arab Republic,Dier Ali CCGT Power Plant Syria,GEODB0041662,750.0,33.2698,36.3278,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1061782,2017,,,,,,,,,,,,,1332.75,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SYR,Syrian Arab Republic,Homs Refinery Cogen Power Plant Syria,GEODB0041672,64.0,34.7184,36.6326,Oil,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1017594,2017,,,,,,,,,,,,,307.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SYR,Syrian Arab Republic,Jandar CCGT Power Plant Syria,GEODB0041654,700.0,34.4662,36.7834,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1016711,2017,,,,,,,,,,,,,1243.90,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SYR,Syrian Arab Republic,Mehardeh Thermal Power Plant Syria,GEODB0041656,630.0,35.2630,36.5850,Oil,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1016712,2017,,,,,,,,,,,,,3023.85,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SYR,Syrian Arab Republic,Swedieh ( Suwaidiyah) OCGT Power Plant Syria,GEODB0041677,150.0,37.0025,42.0698,Gas,,,,,,GEODB,http://globalenergyobservatory.org,GEODB,1016715,2017,,,,,,,,,,,,,266.55,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
